GPS time   ,date       ,time     ,latitude           ,longitude          ,altitude            ,qx                  ,qy                  ,qz                  ,qw                  ,image,image_url
1417792671,2024-12-09 ,15:17:33 ,28.6649443737684,-81.37678070344788,3.711456298828125,0.2730216820889121,0.6295045433664843,-0.3015372556744883,0.6620109095176444,1733757453482.jpg,https://KShervington.github.io/arcgis-images/images/1733757453482.jpg
1417792672,2024-12-09 ,15:17:34 ,28.66506231204891,-81.37676183244622,-1.783447265625,0.2730521982903846,0.6298949856117939,-0.3014982195183204,0.6616445527557598,1733757454464.jpg,https://KShervington.github.io/arcgis-images/images/1733757454464.jpg
1417792674,2024-12-09 ,15:17:36 ,28.6650102091014,-81.3767857989741,-2.056396484375,0.272814350853987,0.6298791247286184,-0.3015638068852985,0.6617279784383564,1733757456491.jpg,https://KShervington.github.io/arcgis-images/images/1733757456491.jpg
1417792675,2024-12-09 ,15:17:37 ,28.66499815261365,-81.3767912411386,-1.67529296875,0.2725275949314218,0.6307231599664592,-0.3017548549927693,0.6609546750803776,1733757457497.jpg,https://KShervington.github.io/arcgis-images/images/1733757457497.jpg
1417792676,2024-12-09 ,15:17:38 ,28.66499116152428,-81.37679299937653,-1.95379638671875,0.2724609957447508,0.6308288369467709,-0.3018029067667632,0.6608592204747776,1733757458508.jpg,https://KShervington.github.io/arcgis-images/images/1733757458508.jpg
1417792677,2024-12-09 ,15:17:39 ,28.664984714647552,-81.37679542742102,-2.030517578125,0.2721622287122659,0.6310751480971564,-0.3018870780367953,0.6607087954901479,1733757459535.jpg,https://KShervington.github.io/arcgis-images/images/1733757459535.jpg
1417792678,2024-12-09 ,15:17:40 ,28.66498320758465,-81.37679659958091,-2.134490966796875,0.2723056459313961,0.630735001057575,-0.3016482769902123,0.6610835090823238,1733757460533.jpg,https://KShervington.github.io/arcgis-images/images/1733757460533.jpg
1417792679,2024-12-09 ,15:17:41 ,28.66498278892438,-81.37679768809737,-2.17840576171875,0.2724959876863271,0.6309712073942866,-0.3014295724600939,0.6608792655773911,1733757461534.jpg,https://KShervington.github.io/arcgis-images/images/1733757461534.jpg
1417792680,2024-12-09 ,15:17:42 ,28.664982286531856,-81.37680036752374,-2.193145751953125,0.2723121526384219,0.6308694478366836,-0.3016821085018329,0.6609371000100298,1733757462535.jpg,https://KShervington.github.io/arcgis-images/images/1733757462535.jpg
1417792681,2024-12-09 ,15:17:43 ,28.66498266332656,-81.3768016235063,-2.06402587890625,0.27222535021584,0.6308509605814904,-0.301747179207964,0.6609606624273665,1733757463532.jpg,https://KShervington.github.io/arcgis-images/images/1733757463532.jpg
